"STREAM_ID","MOVIE_ID","TITLE","STUDIO_NAME","PRIMARY_GENRE","RELEASE_YEAR","CRITIC_SCORE","AUDIENCE_SCORE","PLATFORM_NAME","MONTH_DATE","STREAM_YEAR","STREAM_MONTH","ESTIMATED_VIEWS","ESTIMATED_HOURS","COMPLETION_RATE","IS_FEATURED","TOTAL_GROSS","PERFORMANCE_TIER"
"1","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2016-04-01","2016","4","1990",3867.2,71.18,false,653000000,"Blockbuster"
"2","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2016-05-01","2016","5","1356",1992.3,73.16,true,653000000,"Blockbuster"
"3","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2016-06-01","2016","6","862",1733.9,75.92,false,653000000,"Blockbuster"
"4","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2016-07-01","2016","7","555",840.9,59.84,false,653000000,"Blockbuster"
"5","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2016-08-01","2016","8","494",967.9,69.03,false,653000000,"Blockbuster"
"6","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2016-09-01","2016","9","522",769,71.55,false,653000000,"Blockbuster"
"7","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2016-10-01","2016","10","175",261.1,69.95,false,653000000,"Blockbuster"
"8","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2016-11-01","2016","11","107",217.5,70.86,false,653000000,"Blockbuster"
"9","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2016-12-01","2016","12","229",422.3,60.65,false,653000000,"Blockbuster"
"10","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-01-01","2017","1","119",220.8,63.39,false,653000000,"Blockbuster"
"11","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-02-01","2017","2","97",203.2,74.28,true,653000000,"Blockbuster"
"12","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-03-01","2017","3","163",328.5,65.78,false,653000000,"Blockbuster"
"13","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-04-01","2017","4","84",132.1,78.45,false,653000000,"Blockbuster"
"14","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-05-01","2017","5","146",260.9,73.01,false,653000000,"Blockbuster"
"15","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-06-01","2017","6","146",233.5,80.96,true,653000000,"Blockbuster"
"16","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-07-01","2017","7","130",229.9,73.66,false,653000000,"Blockbuster"
"17","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-08-01","2017","8","87",151.3,77.84,false,653000000,"Blockbuster"
"18","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-09-01","2017","9","174",348.9,68.22,false,653000000,"Blockbuster"
"19","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-10-01","2017","10","98",143,75.74,false,653000000,"Blockbuster"
"20","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-11-01","2017","11","130",253.8,79.3,false,653000000,"Blockbuster"
"21","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2017-12-01","2017","12","160",333,78.02,false,653000000,"Blockbuster"
"22","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-01-01","2018","1","108",193.4,67.45,false,653000000,"Blockbuster"
"23","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-02-01","2018","2","129",253.9,55.21,false,653000000,"Blockbuster"
"24","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-03-01","2018","3","171",238.5,85.05,false,653000000,"Blockbuster"
"25","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-04-01","2018","4","61",107.5,59.73,false,653000000,"Blockbuster"
"26","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-05-01","2018","5","122",237.2,77.35,false,653000000,"Blockbuster"
"27","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-06-01","2018","6","62",90,63.2,false,653000000,"Blockbuster"
"28","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-07-01","2018","7","126",203.1,68.49,false,653000000,"Blockbuster"
"29","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-08-01","2018","8","95",148.1,56.34,false,653000000,"Blockbuster"
"30","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-09-01","2018","9","117",205.4,70.09,false,653000000,"Blockbuster"
"31","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-10-01","2018","10","162",231.4,82.76,false,653000000,"Blockbuster"
"32","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-11-01","2018","11","93",154.9,83.03,false,653000000,"Blockbuster"
"33","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2018-12-01","2018","12","110",220.4,72.94,false,653000000,"Blockbuster"
"34","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-01-01","2019","1","83",167.6,57.89,false,653000000,"Blockbuster"
"35","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-02-01","2019","2","74",113,56.17,false,653000000,"Blockbuster"
"36","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-03-01","2019","3","174",343.1,80.18,false,653000000,"Blockbuster"
"37","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-04-01","2019","4","93",171.6,86.72,false,653000000,"Blockbuster"
"38","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-05-01","2019","5","92",154.2,83.36,false,653000000,"Blockbuster"
"39","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-06-01","2019","6","147",222,59.32,false,653000000,"Blockbuster"
"40","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-07-01","2019","7","66",132.8,80.74,false,653000000,"Blockbuster"
"41","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-08-01","2019","8","112",193.7,61.61,false,653000000,"Blockbuster"
"42","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-09-01","2019","9","172",284.7,62.75,false,653000000,"Blockbuster"
"43","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-10-01","2019","10","89",150.2,75.51,false,653000000,"Blockbuster"
"44","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-11-01","2019","11","163",253.3,86.87,false,653000000,"Blockbuster"
"45","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2019-12-01","2019","12","168",336.7,76.32,false,653000000,"Blockbuster"
"46","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-01-01","2020","1","140",292.6,83.95,false,653000000,"Blockbuster"
"47","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-02-01","2020","2","175",342.8,75.83,false,653000000,"Blockbuster"
"48","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-03-01","2020","3","176",350.6,62.64,false,653000000,"Blockbuster"
"49","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-04-01","2020","4","167",241.7,58.01,false,653000000,"Blockbuster"
"50","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-05-01","2020","5","123",169.4,65.28,false,653000000,"Blockbuster"
"51","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-06-01","2020","6","91",146.9,71.92,true,653000000,"Blockbuster"
"52","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-07-01","2020","7","161",292.2,69.87,false,653000000,"Blockbuster"
"53","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-08-01","2020","8","174",315,84.19,false,653000000,"Blockbuster"
"54","7","The Hunger Games: Mockingjay Part 2","Lionsgate","Action","2015",70,68,"Netflix","2020-09-01","2020","9","129",233.4,65.27,false,653000000,"Blockbuster"
